Egypt Arab Rep.,EGY,Life expectancy at birth total (years),SP.DYN.LE00.IN,71.656
Euro area,EMU,Life expectancy at birth total (years),SP.DYN.LE00.IN,81.95073042
Eritrea,ERI,Life expectancy at birth total (years),SP.DYN.LE00.IN,65.538
Spain,ESP,Life expectancy at birth total (years),SP.DYN.LE00.IN,83.32926829
Estonia,EST,Life expectancy at birth total (years),SP.DYN.LE00.IN,77.64146341
Ethiopia,ETH,Life expectancy at birth total (years),SP.DYN.LE00.IN,65.872
European Union,EUU,Life expectancy at birth total (years),SP.DYN.LE00.IN,80.99115581
Fragile and conflict affected situations,FCS,Life expectancy at birth total (years),SP.DYN.LE00.IN,63.15109546
Finland,FIN,Life expectancy at birth total (years),SP.DYN.LE00.IN,81.42926829
Fiji,FJI,Life expectancy at birth total (years),SP.DYN.LE00.IN,67.252
France,FRA,Life expectancy at birth total (years),SP.DYN.LE00.IN,82.52439024
Faroe Islands,FRO,Life expectancy at birth total (years),SP.DYN.LE00.IN,82.4
Micronesia Fed. Sts.,FSM,Life expectancy at birth total (years),SP.DYN.LE00.IN,67.618
Gabon,GAB,Life expectancy at birth total (years),SP.DYN.LE00.IN,65.839
United Kingdom,GBR,Life expectancy at birth total (years),SP.DYN.LE00.IN,81.15609756
Georgia,GEO,Life expectancy at birth total (years),SP.DYN.LE00.IN,73.414
Ghana,GHA,Life expectancy at birth total (years),SP.DYN.LE00.IN,63.463
Gibraltar,GIB,Life expectancy at birth total (years),SP.DYN.LE00.IN,..
Guinea,GIN,Life expectancy at birth total (years),SP.DYN.LE00.IN,60.706
Gambia The,GMB,Life expectancy at birth total (years),SP.DYN.LE00.IN,61.44
Guinea-Bissau,GNB,Life expectancy at birth total (years),SP.DYN.LE00.IN,57.673
Equatorial Guinea,GNQ,Life expectancy at birth total (years),SP.DYN.LE00.IN,58.061
Greece,GRC,Life expectancy at birth total (years),SP.DYN.LE00.IN,81.38780488
Grenada,GRD,Life expectancy at birth total (years),SP.DYN.LE00.IN,72.388
Greenland,GRL,Life expectancy at birth total (years),SP.DYN.LE00.IN,..
Guatemala,GTM,Life expectancy at birth total (years),SP.DYN.LE00.IN,73.81
Guam,GUM,Life expectancy at birth total (years),SP.DYN.LE00.IN,79.631
Guyana,GUY,Life expectancy at birth total (years),SP.DYN.LE00.IN,69.624
High income,HIC,Life expectancy at birth total (years),SP.DYN.LE00.IN,80.6937295
Hong Kong SAR China,HKG,Life expectancy at birth total (years),SP.DYN.LE00.IN,84.6804878
Honduras,HND,Life expectancy at birth total (years),SP.DYN.LE00.IN,74.898
Heavily indebted poor countries (HIPC),HPC,Life expectancy at birth total (years),SP.DYN.LE00.IN,62.7486826
Croatia,HRV,Life expectancy at birth total (years),SP.DYN.LE00.IN,77.82682927
Haiti,HTI,Life expectancy at birth total (years),SP.DYN.LE00.IN,63.29
Hungary,HUN,Life expectancy at birth total (years),SP.DYN.LE00.IN,76.06341463
IBRD only,IBD,Life expectancy at birth total (years),SP.DYN.LE00.IN,73.19550862
IDA & IBRD total,IBT,Life expectancy at birth total (years),SP.DYN.LE00.IN,70.85855778
IDA total,IDA,Life expectancy at birth total (years),SP.DYN.LE00.IN,63.96471201
IDA blend,IDB,Life expectancy at birth total (years),SP.DYN.LE00.IN,61.99688464
Indonesia,IDN,Life expectancy at birth total (years),SP.DYN.LE00.IN,71.282
IDA only,IDX,Life expectancy at birth total (years),SP.DYN.LE00.IN,64.97329468
Isle of Man,IMN,Life expectancy at birth total (years),SP.DYN.LE00.IN,..
India,IND,Life expectancy at birth total (years),SP.DYN.LE00.IN,69.165
Not classified,INX,Life expectancy at birth total (years),SP.DYN.LE00.IN,..
Ireland,IRL,Life expectancy at birth total (years),SP.DYN.LE00.IN,81.95609756
Iran Islamic Rep.,IRN,Life expectancy at birth total (years),SP.DYN.LE00.IN,76.271
Iraq,IRQ,Life expectancy at birth total (years),SP.DYN.LE00.IN,70.294
Iceland,ISL,Life expectancy at birth total (years),SP.DYN.LE00.IN,82.20487805
Israel,ISR,Life expectancy at birth total (years),SP.DYN.LE00.IN,82.60243902
Italy,ITA,Life expectancy at birth total (years),SP.DYN.LE00.IN,83.24390244
Jamaica,JAM,Life expectancy at birth total (years),SP.DYN.LE00.IN,74.267
Jordan,JOR,Life expectancy at birth total (years),SP.DYN.LE00.IN,74.292
Japan,JPN,Life expectancy at birth total (years),SP.DYN.LE00.IN,84.0997561
Kazakhstan,KAZ,Life expectancy at birth total (years),SP.DYN.LE00.IN,72.95
Kenya,KEN,Life expectancy at birth total (years),SP.DYN.LE00.IN,65.909
Kyrgyz Republic,KGZ,Life expectancy at birth total (years),SP.DYN.LE00.IN,71.2
Cambodia,KHM,Life expectancy at birth total (years),SP.DYN.LE00.IN,69.289
Kiribati,KIR,Life expectancy at birth total (years),SP.DYN.LE00.IN,67.851
St. Kitts and Nevis,KNA,Life expectancy at birth total (years),SP.DYN.LE00.IN,..
Korea Rep.,KOR,Life expectancy at birth total (years),SP.DYN.LE00.IN,82.62682927
Kuwait,KWT,Life expectancy at birth total (years),SP.DYN.LE00.IN,75.311
Latin America & Caribbean (excluding high income),LAC,Life expectancy at birth total (years),SP.DYN.LE00.IN,75.08345444
Lao PDR,LAO,Life expectancy at birth total (years),SP.DYN.LE00.IN,67.277
Lebanon,LBN,Life expectancy at birth total (years),SP.DYN.LE00.IN,78.833
Liberia,LBR,Life expectancy at birth total (years),SP.DYN.LE00.IN,63.295
Libya,LBY,Life expectancy at birth total (years),SP.DYN.LE00.IN,72.52
St. Lucia,LCA,Life expectancy at birth total (years),SP.DYN.LE00.IN,75.907
Latin America & Caribbean,LCN,Life expectancy at birth total (years),SP.DYN.LE00.IN,75.28021575
Least developed countries: UN classification,LDC,Life expectancy at birth total (years),SP.DYN.LE00.IN,64.70773022
Low income,LIC,Life expectancy at birth total (years),SP.DYN.LE00.IN,63.39261016
Liechtenstein,LIE,Life expectancy at birth total (years),SP.DYN.LE00.IN,82.25853659
Sri Lanka,LKA,Life expectancy at birth total (years),SP.DYN.LE00.IN,76.648
Lower middle income,LMC,Life expectancy at birth total (years),SP.DYN.LE00.IN,68.32302436
Low & middle income,LMY,Life expectancy at birth total (years),SP.DYN.LE00.IN,70.79658768
Lesotho,LSO,Life expectancy at birth total (years),SP.DYN.LE00.IN,52.947
Late-demographic dividend,LTE,Life expectancy at birth total (years),SP.DYN.LE00.IN,75.99540149
Lithuania,LTU,Life expectancy at birth total (years),SP.DYN.LE00.IN,74.67073171
Luxembourg,LUX,Life expectancy at birth total (years),SP.DYN.LE00.IN,82.68536585
Latvia,LVA,Life expectancy at birth total (years),SP.DYN.LE00.IN,74.6804878
Macao SAR China,MAC,Life expectancy at birth total (years),SP.DYN.LE00.IN,83.989
St. Martin (French part),MAF,Life expectancy at birth total (years),SP.DYN.LE00.IN,79.72195122
Morocco,MAR,Life expectancy at birth total (years),SP.DYN.LE00.IN,76.218
Monaco,MCO,Life expectancy at birth total (years),SP.DYN.LE00.IN,..
Moldova,MDA,Life expectancy at birth total (years),SP.DYN.LE00.IN,71.717
Madagascar,MDG,Life expectancy at birth total (years),SP.DYN.LE00.IN,66.311
Maldives,MDV,Life expectancy at birth total (years),SP.DYN.LE00.IN,78.325
Middle East & North Africa,MEA,Life expectancy at birth total (years),SP.DYN.LE00.IN,73.90103351
Mexico,MEX,Life expectancy at birth total (years),SP.DYN.LE00.IN,74.947
Marshall Islands,MHL,Life expectancy at birth total (years),SP.DYN.LE00.IN,..
Middle income,MIC,Life expectancy at birth total (years),SP.DYN.LE00.IN,71.70243385
North Macedonia,MKD,Life expectancy at birth total (years),SP.DYN.LE00.IN,75.589
Mali,MLI,Life expectancy at birth total (years),SP.DYN.LE00.IN,58.452
Malta,MLT,Life expectancy at birth total (years),SP.DYN.LE00.IN,82.45365854
Myanmar,MMR,Life expectancy at birth total (years),SP.DYN.LE00.IN,66.558
Middle East & North Africa (excluding high income),MNA,Life expectancy at birth total (years),SP.DYN.LE00.IN,73.39427025
Montenegro,MNE,Life expectancy at birth total (years),SP.DYN.LE00.IN,76.667
Mongolia,MNG,Life expectancy at birth total (years),SP.DYN.LE00.IN,69.509
Northern Mariana Islands,MNP,Life expectancy at birth total (years),SP.DYN.LE00.IN,..
Mozambique,MOZ,Life expectancy at birth total (years),SP.DYN.LE00.IN,59.309
Mauritania,MRT,Life expectancy at birth total (years),SP.DYN.LE00.IN,64.464
Mauritius,MUS,Life expectancy at birth total (years),SP.DYN.LE00.IN,74.51463415
Malawi,MWI,Life expectancy at birth total (years),SP.DYN.LE00.IN,63.279
Malaysia,MYS,Life expectancy at birth total (years),SP.DYN.LE00.IN,75.828
North America,NAC,Life expectancy at birth total (years),SP.DYN.LE00.IN,78.9142768
Namibia,NAM,Life expectancy at birth total (years),SP.DYN.LE00.IN,63.021
New Caledonia,NCL,Life expectancy at birth total (years),SP.DYN.LE00.IN,77.14878049
Niger,NER,Life expectancy at birth total (years),SP.DYN.LE00.IN,61.599
Nigeria,NGA,Life expectancy at birth total (years),SP.DYN.LE00.IN,53.95
Nicaragua,NIC,Life expectancy at birth total (years),SP.DYN.LE00.IN,74.068
Netherlands,NLD,Life expectancy at birth total (years),SP.DYN.LE00.IN,81.56097561
Norway,NOR,Life expectancy at birth total (years),SP.DYN.LE00.IN,82.5097561
Nepal,NPL,Life expectancy at birth total (years),SP.DYN.LE00.IN,70.169
Nauru,NRU,Life expectancy at birth total (years),SP.DYN.LE00.IN,..
New Zealand,NZL,Life expectancy at birth total (years),SP.DYN.LE00.IN,81.65853659
